Nome,zl,zs,Sigma ap,dSigma ap,thetaE,Survey,theta ap,Theta eff,sigma0,dsigma0,sigma_atm_(arcsec)
J1538+5817,0.1430,0.5310,189.00,12.00,1,SLACS,1.50,1.580,194.00,12.00,1.40
J1621+3931,0.2450,0.6020,236.00,20.00,1.29,SLACS,1.50,2.140,239.00,20.00,1.40
J1627–0053,0.2080,0.5240,290.00,14.00,1.23,SLACS,1.50,1.980,295.00,14.00,1.40
J1630+4520,0.2480,0.7930,276.00,16.00,1.78,SLACS,1.50,1.960,281.00,16.00,1.40
J1636+4707,0.2280,0.6740,231.00,15.00,1.09,SLACS,1.50,1.680,236.00,15.00,1.40
J2238–0754,0.1370,0.7130,198.00,11.00,1.27,SLACS,1.50,2.330,200.00,11.00,1.40
J2300+0022,0.2280,0.4640,279.00,17.00,1.24,SLACS,1.50,1.830,285.00,17.00,1.40
J2303+1422,0.1550,0.5170,255.00,16.00,1.62,SLACS,1.50,3.280,254.00,16.00,1.40
J2321–0939,0.0820,0.5320,249.00,8.00,1.6,SLACS,1.50,4.110,246.00,8.00,1.40
J2341+0000,0.1860,0.8070,207.00,13.00,1.44,SLACS,1.50,3.150,207.00,13.00,1.40
Q0047–2808,0.4850,3.5950,229.00,15.00,1.34,LSD,1.25,0.820,239.00,16.00,0.70
CFRS03–1077,0.9380,2.9410,251.00,19.00,1.24,LSD,1.25,1.600,256.00,19.00,0.80
HST14176,0.8100,3.3990,224.00,15.00,1.41,LSD,1.25,1.060,232.00,16.00,0.75
HST15433,0.4970,2.0920,116.00,10.00,0.36,LSD,1.25,0.410,125.00,11.00,0.80
MG2016,1.0040,3.2630,328.00,32.00,1.56,LSD,0.65,0.310,347.00,34.00,0.80
J0212–0555,0.7500,2.7400,273.00,22.00,1.27,SL2S,0.90,1.220,277.00,22.00,0.95
J0213–0743,0.7170,3.4800,293.00,34.00,2.39,SL2S,1.00,1.970,293.00,34.00,0.60
J0214–0405,0.6090,1.8800,287.00,47.00,1.41,SL2S,1.00,1.210,293.00,48.00,0.70
J0217–0513,0.6460,1.8470,239.00,27.00,1.27,SL2S,1.50,0.730,253.00,29.00,0.60
J0219–0829,0.3890,2.1500,289.00,23.00,1.3,SL2S,1.00,0.950,298.00,24.00,0.70
J0223–0534,0.4990,1.4400,288.00,28.00,1.22,SL2S,1.00,1.310,293.00,28.00,0.60
